n_bins,msfno,resnet,msfno_int,resnet_int
8,0.9714,0.928,0.8522,0.6582
9,0.9686,0.932,0.7848,0.776
10,0.9658,0.9284,0.8168,0.7118
11,0.9694,0.8988,0.7916,0.5616
12,0.965,0.883,0.698,0.6124
13,0.9628,0.8888,0.6988,0.6084
14,0.9604,0.8624,0.7412,0.581
15,0.9546,0.8814,0.748,0.4532
16,0.9482,0.843,0.7172,0.5468
17,0.9458,0.8468,0.672,0.4944
18,0.9394,0.847,0.6534,0.4938
19,0.9392,0.836,0.6478,0.3776
20,0.9296,0.8332,0.6878,0.4744
21,0.9288,0.8058,0.6096,0.4404
22,0.9262,0.7866,0.6254,0.4108
23,0.9208,0.7966,0.574,0.3862
24,0.9164,0.785,0.6024,0.4414
25,0.9184,0.7772,0.5688,0.4062
26,0.9084,0.7598,0.5698,0.36
27,0.9084,0.7538,0.5768,0.3454
28,0.904,0.7398,0.551,0.3822
29,0.9048,0.7402,0.5348,0.3174
30,0.89,0.7368,0.549,0.3028
31,0.893,0.707,0.5178,0.3254
32,0.8778,0.708,0.527,0.3062
33,0.882,0.6874,0.496,0.3192
34,0.8726,0.6856,0.4814,0.2486
35,0.86,0.6738,0.483,0.3164
36,0.8672,0.6748,0.4592,0.306
37,0.8658,0.6468,0.4512,0.2824
38,0.865,0.6348,0.4764,0.253
39,0.8546,0.6352,0.4356,0.2424
40,0.8558,0.649,0.4516,0.28
